,make,model,mileage,fuel-type,first-registration,price
226,mercedes-benz,a 250,22500,2,12-2020,35000
227,mercedes-benz,a 250,38770,2,07-2020,36100
228,mercedes-benz,a 250,38770,2,07-2020,36100
229,mercedes-benz,a 250,38770,2,07-2020,36100
230,mercedes-benz,a 250,46896,2,11-2020,31900
231,mercedes-benz,a 250,50707,2,06-2022,38000
232,mercedes-benz,a 250,24393,2,08-2022,36500
233,mercedes-benz,a 250,12466,2,08-2022,36100
234,mercedes-benz,a 250,90000,b,01-2014,26000
235,mercedes-benz,a 250,50707,2,06-2022,38000
236,mercedes-benz,a 250,38225,2,06-2020,37600
237,mercedes-benz,a 250,38225,2,06-2020,37600
238,mercedes-benz,a 250,92000,b,09-2016,28000
239,mercedes-benz,a 250,21300,2,08-2022,35100
240,mercedes-benz,a 250,21300,2,08-2022,35100
241,mercedes-benz,a 250,38770,2,07-2020,36100
242,mercedes-benz,a 250,12133,2,10-2022,40100
243,mercedes-benz,a 250,165000,b,08-2017,24400
244,mercedes-benz,a 250,54518,b,03-2020,37890
245,mercedes-benz,a 250,98000,b,09-2019,31500
246,mercedes-benz,a 250,20951,2,12-2020,34890
247,mercedes-benz,a 250,61000,2,10-2020,31000
248,mercedes-benz,a 250,100000,b,07-2014,21000
249,mercedes-benz,a 250,55977,2,09-2020,33900
250,mercedes-benz,a 250,55977,2,09-2020,33900
251,mercedes-benz,a 250,57600,b,11-2019,31900
252,mercedes-benz,a 250,25749,2,07-2022,35100
253,mercedes-benz,a 250,137000,b,06-2014,19000
254,mercedes-benz,a 250,13592,2,05-2022,39600
255,mercedes-benz,a 250,91000,b,05-2013,20000
256,mercedes-benz,a 250,19150,2,08-2022,40100
257,mercedes-benz,a 250,30747,2,06-2022,34900
258,mercedes-benz,a 250,53086,2,12-2020,35400
259,mercedes-benz,a 250,55000,b,03-2017,28900
260,mercedes-benz,a 250,11200,2,06-2022,35200
261,mercedes-benz,a 250,0,2,new,45750
262,mercedes-benz,a 250,38770,2,07-2020,36100
263,mercedes-benz,a 250,unknown,2,new,49740
264,mercedes-benz,a 250,56000,2,01-2021,34000
265,mercedes-benz,a 250,5791,b,03-2021,35500
266,mercedes-benz,a 250,20129,2,09-2022,39000
267,mercedes-benz,a 250,20129,2,09-2022,39000
268,mercedes-benz,a 250,110000,b,05-2014,24000
269,mercedes-benz,a 250,20319,2,06-2022,35200
270,mercedes-benz,a 250,15000,2,07-2022,40100
271,mercedes-benz,a 250,55226,2,06-2020,34300
272,mercedes-benz,a 250,30747,2,06-2022,34900
273,mercedes-benz,a 250,82390,b,09-2016,26700
274,mercedes-benz,a 250,76000,b,09-2019,29990
275,mercedes-benz,a 250,30000,b,04-2019,38900
276,mercedes-benz,a 250,48000,2,08-2020,35000
277,mercedes-benz,a 250,39000,2,06-2021,35900
278,mercedes-benz,a 250,22600,2,08-2022,40100
279,mercedes-benz,a 250,49000,2,06-2020,35900
280,mercedes-benz,a 250,16051,2,10-2022,40100
281,mercedes-benz,a 250,16051,2,10-2022,40100
282,mercedes-benz,a 250,18000,2,02-2022,37800
283,mercedes-benz,a 250,58700,b,03-2019,36200
284,mercedes-benz,a 250,22600,2,08-2022,40100
285,mercedes-benz,a 250,41500,2,11-2020,32990
286,mercedes-benz,a 250,29523,2,03-2021,36700
287,mercedes-benz,a 250,59873,2,10-2020,30400
288,mercedes-benz,a 250,10883,2,10-2022,40100
289,mercedes-benz,a 250,10883,2,10-2022,40100
290,mercedes-benz,a 250,15000,2,07-2022,40100
291,mercedes-benz,a 250,50591,b,05-2020,34800
292,mercedes-benz,a 250,32960,2,01-2021,35900
293,mercedes-benz,a 250,50707,2,06-2022,38000
294,mercedes-benz,a 250,38770,2,07-2020,36100
295,mercedes-benz,a 250,38000,b,10-2018,36500
296,mercedes-benz,a 250,95151,2,11-2020,26400
297,mercedes-benz,a 250,22090,2,07-2022,40100
298,mercedes-benz,a 250,22090,2,07-2022,40100
299,mercedes-benz,a 250,165000,2,09-2020,29000
300,mercedes-benz,a 250,96000,b,01-2019,33000
301,mercedes-benz,a 250,42113,2,12-2020,38400
302,mercedes-benz,a 250,27000,b,03-2021,41250
303,mercedes-benz,a 250,50503,2,08-2020,32550
304,mercedes-benz,a 250,133000,b,05-2014,18300
305,mercedes-benz,a 250,50000,b,05-2020,41000
306,mercedes-benz,a 250,41778,2,12-2020,36900
307,mercedes-benz,a 250,41778,2,12-2020,36900
308,mercedes-benz,a 250,40000,2,07-2021,31500
309,mercedes-benz,a 250,49492,2,10-2020,31500
310,mercedes-benz,a 250,50707,2,06-2022,38000
311,mercedes-benz,a 250,75673,2,03-2021,33600
312,mercedes-benz,a 250,25927,b,11-2021,37990
313,mercedes-benz,a 250,80373,2,07-2020,31800
314,mercedes-benz,a 250,41024,2,04-2021,39400
315,mercedes-benz,a 250,42113,2,12-2020,38400
316,mercedes-benz,a 250,21938,2,12-2021,35900
